技大,,,1,名詞,固有名詞,一般,*,*,*,技大,ギダイ,ギダイ
学院大,,,1,名詞,固有名詞,一般,*,*,*,学院大,ガクインダイ,ガクインダイ
三編,,,1,名詞,一般,*,*,*,*,三編,サンヘン,サンヘン
三編生,,,1,名詞,一般,*,*,*,*,三編生,サンヘンセイ,サンヘンセイ
基礎数,,,1,名詞,固有名詞,一般,*,*,*,基礎数,キソスウ,キソスウ
フレセミ,,,1,名詞,固有名詞,一般,*,*,*,フレセミ,フレセミ,フレセミ
特演,,,1,名詞,固有名詞,一般,*,*,*,特別演習,トクエン,トクエン
特別演習,,,1,名詞,固有名詞,一般,*,*,*,特別演習,トクベツエンシュウ,トクベツエンシュウ
卒研,,,1,名詞,一般,*,*,*,*,卒研,ソツケン,ソツケン
COJT,,,1,名詞,固有名詞,一般,*,*,*,COJT,シーオージェーティー,シーオージェーティー
enPit,,,1,名詞,固有名詞,一般,*,*,*,enPit,エンピット,エンピット
新歓委員,,,1,名詞,一般,*,*,*,*,新歓委員,シンカンイイン,シンカンイイン
新推委,,,1,名詞,一般,*,*,*,*,新推委,シンスイイ,シンスイイ
雙峰祭,,,1,名詞,固有名詞,一般,*,*,*,雙峰祭,ソウホウサイ,ソウホウサイ
つくコレ,,,1,名詞,固有名詞,一般,*,*,*,つくコレ,ツクコレ,ツクコレ
つくばコレクション,,,1,名詞,固有名詞,一般,*,*,*,つくばコレクション,ツクバコレクション,ツクバコレクション
Tsukuba Collection,,,1,名詞,固有名詞,一般,*,*,*,Tsukuba Collection,ツクバコレクション,ツクバコレクション
